,新闻好坏
1693,Postive
1694,Postive
1695,Postive
1696,Postive
1697,Postive
1698,Postive
1699,Postive
1700,Postive
1701,Postive
1702,Postive
1703,Postive
1704,Postive
1705,Postive
1706,Postive
1707,Postive
1708,Postive
1709,Postive
1710,Postive
1711,Postive
1712,Postive
1713,Postive
1714,Postive
1715,Postive
1716,Postive
1717,Postive
1718,Postive
1719,Postive
1720,Postive
1721,Postive
1722,Postive
1723,Postive
1724,Postive
1725,Postive
1726,Postive
1727,Postive
1728,Postive
1729,Postive
1730,Postive
1731,Postive
1732,Postive
1733,Postive
1734,Postive
1735,Postive
1736,Postive
1737,Postive
1738,Postive
1739,Postive
1740,Postive
1741,Postive
1742,Postive
1743,Postive
1744,Postive
1745,Negetive
1746,Postive
1747,Postive
1748,Postive
1749,Postive
1750,Postive
1751,Postive
1752,Postive
1753,Postive
1754,Postive
1755,Postive
1756,Postive
1757,Postive
1758,Postive
1759,Negetive
1760,Postive
1761,Postive
1762,Negetive
1763,Negetive
1764,Postive
1765,Postive
1766,Postive
1767,Postive
1768,Postive
1769,Postive
1770,Postive
1771,Postive
1772,Postive
1773,Postive
1774,Postive
1775,Postive
1776,Postive
1777,Postive
1778,Postive
1779,Postive
1780,Postive
1781,Postive
1782,Negetive
1783,Negetive
1784,Negetive
1785,Negetive
1786,Postive
1787,Postive
1788,Postive
1789,Postive
1790,Postive
1791,Postive
1792,Postive
1793,Postive
1794,Postive
1795,Postive
1796,Postive
1797,Postive
1798,Postive
1799,Postive
1800,Postive
1801,Negetive
1802,Postive
1803,Postive
1804,Postive
1805,Postive
1806,Postive
1807,Negetive
1808,Postive
1809,Postive
1810,Postive
1811,Postive
1812,Postive
1813,Postive
1814,Postive
1815,Postive
1816,Postive
1817,Postive
1818,Postive
1819,Postive
1820,Negetive
1821,Postive
1822,Postive
1823,Postive
1824,Postive
1825,Postive
1826,Postive
1827,Postive
1828,Postive
1829,Postive
1830,Postive
1831,Postive
1832,Postive
1833,Postive
1834,Postive
1835,Postive
1836,Postive
1837,Postive
1838,Postive
1839,Postive
1840,Postive
1841,Postive
1842,Postive
1843,Postive
1844,Postive
1845,Postive
1846,Postive
1847,Postive
1848,Postive
1849,Postive
1850,Postive
1851,Postive
1852,Postive
1853,Postive
1854,Postive
1855,Postive
1856,Postive
1857,Postive
1858,Postive
1859,Postive
1860,Postive
1861,Postive
1862,Postive
1863,Postive
1864,Postive
1865,Postive
1866,Postive
1867,Postive
1868,Postive
1869,Negetive
1870,Negetive
1871,Postive
1872,Postive
1873,Postive
1874,Postive
1875,Postive
1876,Postive
1877,Postive
1878,Postive
1879,Postive
1880,Postive
1881,Postive
1882,Postive
1883,Postive
1884,Postive
1885,Postive
1886,Postive
1887,Postive
1888,Postive
1889,Postive
1890,Postive
1891,Postive
1892,Postive
1893,Postive
1894,Postive
1895,Postive
1896,Postive
1897,Postive
1898,Postive
1899,Postive
1900,Postive
1901,Postive
1902,Postive
1903,Postive
1904,Postive
1905,Postive
1906,Postive
1907,Postive
1908,Postive
1909,Postive
1910,Postive
1911,Postive
1912,Postive
1913,Postive
1914,Postive
1915,Postive
1916,Postive
1917,Postive
1918,Postive
1919,Postive
1920,Postive
1921,Postive
1922,Postive
1923,Postive
1924,Postive
1925,Postive
1926,Postive
1927,Postive
1928,Postive
1929,Postive
1930,Postive
1931,Postive
1932,Postive
1933,Postive
1934,Postive
1935,Postive
1936,Postive
1937,Postive
1938,Postive
1939,Postive
1940,Postive
1941,Postive
1942,Postive
1943,Postive
1944,Postive
1945,Postive
1946,Postive
1947,Postive
1948,Postive
1949,Postive
1950,Postive
1951,Postive
1952,Postive
1953,Postive
1954,Postive
1955,Postive
1956,Postive
1957,Postive
1958,Postive
1959,Postive
1960,Postive
1961,Postive
1962,Postive
1963,Postive
1964,Postive
1965,Postive
1966,Postive
1967,Postive
1968,Postive
1969,Postive
1970,Postive
1971,Postive
1972,Postive
1973,Postive
1974,Postive
1975,Postive
1976,Postive
1977,Postive
1978,Postive
1979,Postive
1980,Postive
1981,Postive
1982,Postive
1983,Postive
1984,Postive
1985,Postive
1986,Postive
1987,Postive
1988,Postive
1989,Postive
1990,Postive
1991,Postive
1992,Postive
1993,Postive
1994,Postive
1995,Postive
1996,Postive
1997,Postive
1998,Postive
1999,Postive
2000,Postive
2001,Postive
2002,Postive
2003,Postive
2004,Postive
2005,Postive
2006,Postive
2007,Postive
2008,Postive
2009,Postive
2010,Postive
2011,Postive
2012,Postive
2013,Postive
2014,Postive
2015,Postive
2016,Postive
2017,Postive
2018,Postive
2019,Postive
2020,Postive
2021,Postive
2022,Postive
2023,Postive
2024,Postive
2025,Postive
2026,Postive
2027,Postive
2028,Postive
2029,Postive
2030,Postive
2031,Postive
2032,Postive
2033,Postive
2034,Postive
2035,Postive
2036,Postive
2037,Postive
2038,Postive
2039,Postive
2040,Postive
2041,Postive
2042,Postive
2043,Postive
2044,Postive
2045,Postive
2046,Postive
2047,Postive
2048,Postive
2049,Postive
2050,Postive
2051,Postive
2052,Postive
2053,Postive
2054,Postive
2055,Postive
2056,Postive
2057,Postive
2058,Postive
2059,Postive
2060,Postive
2061,Postive
2062,Postive
2063,Postive
2064,Postive
2065,Postive
2066,Postive
2067,Postive
2068,Postive
2069,Postive
2070,Postive
2071,Postive
2072,Postive
2073,Postive
2074,Postive
2075,Negetive
2076,Postive
2077,Postive
2078,Postive
2079,Postive
2080,Postive
2081,Postive
2082,Postive
2083,Postive
2084,Postive
2085,Postive
2086,Postive
2087,Postive
2088,Postive
2089,Postive
2090,Postive
2091,Postive
2092,Postive
2093,Postive
2094,Postive
2095,Postive
2096,Postive
2097,Postive
2098,Postive
2099,Postive
2100,Postive
2101,Postive
2102,Postive
2103,Postive
2104,Postive
2105,Postive
2106,Postive
2107,Postive
2108,Postive
2109,Postive
2110,Postive
2111,Postive
2112,Postive
2113,Postive
2114,Postive
2115,Postive
2116,Postive
